Team Name,Total Members,Total Coaches,TechSharing2-ADAM_Members,TechSharing2-ADAM_Coaches,TechSharing2-ADAM_Score,TechSharing3-N8N_Members,TechSharing3-N8N_Coaches,TechSharing3-N8N_Score,TechSharing3.1-Claude_Members,TechSharing3.1-Claude_Coaches,TechSharing3.1-Claude_Score,Total_Members_Attended,Total_Coaches_Attended,Total_Member_Points,Total_Coach_Points,Total_Score,Average_Score,Member_Attendance_Rate,Coach_Attendance_Rate
0FA  Given,5,1,5,1,7,5,1,7,5,1,7,15,3,15,6,21,7.0,100.0%,100.0%
AIrgonomic,5,1,4,1,6,4,1,6,4,1,6,12,3,12,6,18,6.0,80.0%,100.0%
BugAI CONSUMER,5,1,4,1,6,4,0,4,4,1,6,12,2,12,4,16,5.33,80.0%,66.7%
Alliance of Just Minds(AJM),5,1,4,1,6,3,1,5,2,1,4,9,3,9,6,15,5.0,60.0%,100.0%
CTTAI Surfers,5,1,5,0,5,5,0,5,5,0,5,15,0,15,0,15,5.0,100.0%,0.0%
Sisig-mentation Fault,5,1,4,1,6,3,1,5,2,1,4,9,3,9,6,15,5.0,60.0%,100.0%
0xPusangGala,5,1,5,0,5,5,0,5,4,0,4,14,0,14,0,14,4.67,93.3%,0.0%
AInstein.exe,5,1,2,1,4,3,1,5,3,1,5,8,3,8,6,14,4.67,53.3%,100.0%
Jody's AIngels,5,1,4,0,4,5,0,5,5,0,5,14,0,14,0,14,4.67,93.3%,0.0%
AHHHH AI GENERATED (?),5,1,4,1,6,4,1,6,1,0,1,9,2,9,4,13,4.33,60.0%,66.7%
AI-LABUBUG,5,1,5,0,5,4,0,4,4,0,4,13,0,13,0,13,4.33,86.7%,0.0%
Modelicious,5,1,5,0,5,5,0,5,3,0,3,13,0,13,0,13,4.33,86.7%,0.0%
BESTIESSSS,5,1,2,1,4,3,1,5,1,1,3,6,3,6,6,12,4.0,40.0%,100.0%
halo-halo!,5,1,5,0,5,5,0,5,2,0,2,12,0,12,0,12,4.0,80.0%,0.0%
BALNERABILITY Level 3,5,1,4,0,4,4,0,4,3,0,3,11,0,11,0,11,3.67,73.3%,0.0%
C  R  A  K  R,5,1,4,0,4,4,0,4,3,0,3,11,0,11,0,11,3.67,73.3%,0.0%
Eyyyyyyyypak,5,1,3,1,5,3,1,5,1,0,1,7,2,7,4,11,3.67,46.7%,66.7%
HappyThreePrens,5,1,3,0,3,4,0,4,4,0,4,11,0,11,0,11,3.67,73.3%,0.0%
IntelliCrew,5,1,4,0,4,5,0,5,2,0,2,11,0,11,0,11,3.67,73.3%,0.0%
Team Daedalus,5,1,3,1,5,3,0,3,3,0,3,9,1,9,2,11,3.67,60.0%,33.3%
return of the jAid-I,5,1,3,0,3,2,1,4,2,1,4,7,2,7,4,11,3.67,46.7%,66.7%
Sashimi Syntax,4,1,3,0,3,4,0,4,3,0,3,10,0,10,0,10,3.33,83.3%,0.0%
D-Ai-versified,3,1,3,0,3,3,0,3,1,1,3,7,1,7,2,9,3.0,77.8%,33.3%
Hecate Protocol,5,1,2,0,2,4,0,4,3,0,3,9,0,9,0,9,3.0,60.0%,0.0%
SkillSplice,5,1,3,0,3,3,0,3,3,0,3,9,0,9,0,9,3.0,60.0%,0.0%
Tander Cats,5,1,3,0,3,3,0,3,3,0,3,9,0,9,0,9,3.0,60.0%,0.0%
Team Bonus Stage,5,1,3,0,3,4,0,4,2,0,2,9,0,9,0,9,3.0,60.0%,0.0%
Team Powertrip,3,1,3,1,5,3,0,3,1,0,1,7,1,7,2,9,3.0,77.8%,33.3%
AIAIdelasAces,5,1,4,1,6,2,0,2,0,0,0,6,1,6,2,8,2.67,40.0%,33.3%
Aithenaaaa,5,1,3,0,3,2,1,4,1,0,1,6,1,6,2,8,2.67,40.0%,33.3%
CirQuit du Soleil,5,1,2,1,4,4,0,4,0,0,0,6,1,6,2,8,2.67,40.0%,33.3%
Ctrl Alt Dominate,6,1,4,0,4,3,0,3,1,0,1,8,0,8,0,8,2.67,44.4%,0.0%
Ctrl Alt Elite,5,1,2,0,2,3,0,3,3,0,3,8,0,8,0,8,2.67,53.3%,0.0%
Jet2Holidays,4,1,2,0,2,3,0,3,3,0,3,8,0,8,0,8,2.67,66.7%,0.0%
Mickey Mouse Clubhouse,6,1,4,0,4,3,0,3,1,0,1,8,0,8,0,8,2.67,44.4%,0.0%
Prompt Patrol,5,1,2,0,2,3,0,3,3,0,3,8,0,8,0,8,2.67,53.3%,0.0%
QuantumServAI,4,1,2,1,4,2,0,2,2,0,2,6,1,6,2,8,2.67,50.0%,33.3%
SpAIghetti,5,1,4,0,4,4,0,4,0,0,0,8,0,8,0,8,2.67,53.3%,0.0%
Synaptech*,3,1,2,1,4,1,1,3,1,0,1,4,2,4,4,8,2.67,44.4%,66.7%
Team FUNTastic Five,4,1,2,0,2,3,0,3,3,0,3,8,0,8,0,8,2.67,66.7%,0.0%
Team HR-PH,5,1,4,0,4,2,0,2,2,0,2,8,0,8,0,8,2.67,53.3%,0.0%
VGS-6PB5VANN,4,1,2,1,4,1,1,3,1,0,1,4,2,4,4,8,2.67,33.3%,66.7%
CHUCHUCHAKRA,5,1,2,0,2,3,0,3,2,0,2,7,0,7,0,7,2.33,46.7%,0.0%
DTV's Friends,5,1,2,0,2,4,0,4,1,0,1,7,0,7,0,7,2.33,46.7%,0.0%
DeepPacket,5,1,3,0,3,4,0,4,0,0,0,7,0,7,0,7,2.33,46.7%,0.0%
Only F.A.N.S.,5,1,3,0,3,2,0,2,2,0,2,7,0,7,0,7,2.33,46.7%,0.0%
PHiCKaJu Team,5,1,3,0,3,2,0,2,2,0,2,7,0,7,0,7,2.33,46.7%,0.0%
ShortCirqit,4,1,2,0,2,3,0,3,2,0,2,7,0,7,0,7,2.33,58.3%,0.0%
Vortex Ascendancy,5,1,2,0,2,3,0,3,2,0,2,7,0,7,0,7,2.33,46.7%,0.0%
AIDAVERSE TEAM,4,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,50.0%,0.0%
Bear Beees,5,1,3,0,3,3,0,3,0,0,0,6,0,6,0,6,2.0,40.0%,0.0%
CTRL+ALT+ELITE,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
Circuit Smashers,5,1,3,0,3,2,0,2,1,0,1,6,0,6,0,6,2.0,40.0%,0.0%
Ctrl + ai + Del,5,1,3,0,3,2,0,2,1,0,1,6,0,6,0,6,2.0,40.0%,0.0%
Icecreamers,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
"IkigAI, Nani ga suki",5,1,2,0,2,4,0,4,0,0,0,6,0,6,0,6,2.0,40.0%,0.0%
Patient Zero,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
SIEMENS-SIEMENS-BY-THE-SEE-SHORE,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
The MDTR/X,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
yokAI labs,5,1,2,0,2,2,0,2,2,0,2,6,0,6,0,6,2.0,40.0%,0.0%
Adroit Aces,5,1,3,0,3,2,0,2,0,0,0,5,0,5,0,5,1.67,33.3%,0.0%
BootShenron,5,1,2,0,2,2,0,2,1,0,1,5,0,5,0,5,1.67,33.3%,0.0%
CCLoudNine,5,1,3,0,3,1,0,1,1,0,1,5,0,5,0,5,1.67,33.3%,0.0%
CT Just in Time,7,1,2,0,2,2,0,2,1,0,1,5,0,5,0,5,1.67,23.8%,0.0%
J.A.Z.E. CONS,4,1,2,0,2,2,0,2,1,0,1,5,0,5,0,5,1.67,41.7%,0.0%
NightBirds,4,1,1,1,3,2,0,2,0,0,0,3,1,3,2,5,1.67,25.0%,33.3%
"Team ""OG"" OptiGen",4,1,0,0,0,2,0,2,3,0,3,5,0,5,0,5,1.67,41.7%,0.0%
oiiaoooiia,5,1,2,0,2,2,0,2,1,0,1,5,0,5,0,5,1.67,33.3%,0.0%
/mnt/SamLAN,5,1,2,0,2,2,0,2,0,0,0,4,0,4,0,4,1.33,26.7%,0.0%
AImbitious,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
AMEA Might,4,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,33.3%,0.0%
Closed Cirqit,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
Project AI-nya,3,1,2,0,2,1,0,1,1,0,1,4,0,4,0,4,1.33,44.4%,0.0%
Sans Rival,4,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,33.3%,0.0%
TEAM MSPSP,5,1,2,0,2,1,0,1,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
The Saja Boys,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
Third Team,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
#RateLimit,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
AI'm possible,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
AIdea Promptrenders,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
CTRL+SHIFT+D,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Cloud One and friends,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
EmAI CONSUMER,4,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,25.0%,0.0%
GPTeehehe_hee,4,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,25.0%,0.0%
Hugging Facepalm,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
IR KNIGHTS,5,1,0,1,2,1,0,1,0,0,0,1,1,1,2,3,1.0,6.7%,33.3%
SPAMURAI X ATONG,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Script Happens,5,1,1,0,1,2,0,2,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
Secret Aigents,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Team Vanguard,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
Thesis Group_FinalNaTalaga.doc,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
24x7 SIR SIRS,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
AI Avengers,4,1,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
AI Na Ko CONS,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
AInÕt No Malware,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
CrowMailCrypt,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
Ctrl-Freaks,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
E.C. AI CONSUMER,3,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,22.2%,0.0%
G. N. R. 8.,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
LeTMeCheck,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
M.E.M.E.Z. CONS,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
Operation Elrond.AI,3,1,0,0,0,1,0,1,1,0,1,2,0,2,0,2,0.67,22.2%,0.0%
Short cirQit,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
taskh-AI-ve,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
-CirQTies-,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,11.1%,0.0%
404 Threat Not Found,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
AMEA Knights,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
B.U.M.B.L.E. (Bots Using Machine Brainpower to Lure Enlightenment),4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
New Avengerz,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
Ruff Riders,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
ScamAI CONS,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,11.1%,0.0%
ShieldOpss,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
SiomAI Warriors,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0.33,8.3%,0.0%
Team Five Js,5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
Trender Juicy Hotbot,4,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
 __________________,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
AI-ronic Squad,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
AInnovators,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Aimazing CONS,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Alliance of Just Minds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,0.0%
Byte Me AI,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Code.ANZAI,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
DeepThinkAI Team,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Fast & Curious,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Promptrix CONS,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Public AIgents,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
QTS in cirQ_it,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Team Byaheros,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Team F.I.R.E,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Three C IS,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
